title,id,type,subtype,firstVersionTitle,firstVersionType,firstVersionRrid,firstVersionAccession,firstVersionLink
Viral overexpression of human alpha-synuclein in mouse substantia nigra dopamine neurons results in hyperdopaminergia but no neurodegeneration,6jDEKypXSvaL41tcoSUyHV,Published,Original Research,Viral overexpression of human alpha-synuclein in mouse substantia nigra dopamine neurons results in hyperdopaminergia but no neurodegeneration,Preprint,,,https://www.biorxiv.org/content/10.1101/2024.05.03.592188v1
Endo-IP and Lyso-IP Toolkit for Endolysosomal Profiling of Human-Induced Neurons,72flYckP23ef3zMEsrZ2dh,Published,Original Research,Endo-IP and Lyso-IP Toolkit for Endolysosomal Profiling of Human Induced Neurons,Preprint,,,https://www.biorxiv.org/content/10.1101/2024.09.24.614704v1
Characterizing enteric neurons in dopamine transporter (DAT)-Cre reporter mice reveals dopaminergic subtypes with dual-transmitter content,1syoKn9ApXRXPdbs0C3VXQ,Published,Original Research,Characterizing the diversity of enteric neurons using Dopamine Transporter (DAT)-Cre reporter mice,Preprint,,,https://www.biorxiv.org/content/10.1101/2023.06.16.545271v1
Development and characterization of a non-human primate model of disseminated synucleinopathy,5XhnMkD329mKGZ4tQZkdV7,Published,Original Research,Development and characterization of a non-human primate model of disseminated synucleinopathy,Preprint,,,https://www.biorxiv.org/content/10.1101/2023.12.15.571818v1?versioned=true
α-Synuclein aggregation decreases cortico-amygdala connectivity and impairs social behavior in mice,2nlcsFi0eJO5itVp6p9iuF,Published,Original Research,Impaired Cortico-Amygdala Functional Connectivity Can Drive Social Behavior Deficits in Synucleinopathies,Preprint,,,https://www.biorxiv.org/content/10.1101/2024.05.20.594995v1
Combinatorial selective ER-phagy remodels the ER during neurogenesis,72VGFPrzVHtBmCfRFvP72J,Published,Original Research,Combinatorial selective ER-phagy remodels the ER during neurogenesis,Preprint,,,https://www.biorxiv.org/content/10.1101/2023.06.26.546565v1
Visualizing chaperone-mediated multistep assembly of the human 20S proteasome,7hu4MU0APGEqw1NVAvfcvH,Published,Original Research,Visualizing chaperone-mediated multistep assembly of the human 20S proteasome,Preprint,,,https://www.biorxiv.org/content/10.1101/2024.01.27.577538v1
Movement-related increases in subthalamic activity optimize locomotion,6fvCMQEhhOZqWsJgDlFsIB,Published,Original Research,Movement-related increases in subthalamic activity optimize locomotion,Preprint,,,https://pmc.ncbi.nlm.nih.gov/articles/PMC10723456/
Nigrostriatal tau pathology in parkinsonism and Parkinson’s disease,rmfH0xxGI6b6WxXzS7h9R,Published,Original Research,Is Tau the Initial Pathology in Dopaminergic Nigrostriatal Degeneration? Studies in Parkinsonism and Parkinson’s Disease,Preprint,,,https://www.biorxiv.org/content/10.1101/2022.08.04.502831v1
Pathogenic LRRK2 mutations cause loss of primary cilia and Neurturin in striatal Parvalbumin interneurons,4yqzanKh8dgO3qnDFIAV5c,Published,Original Research,Pathogenic LRRK2 mutations cause loss of primary cilia and Neurturin in striatal Parvalbumin interneurons,Preprint,,,https://www.biorxiv.org/content/10.1101/2024.06.17.599289v2
